title,artist,link,copyright
Super Bass,Nicki Minaj,https://drive.google.com/uc?export=download&id=1-8d_0YhvsCKCp0HrhpCcZVYiP95xnzaK,Song: Nicki Minaj - Super Bass Watch: http://youtu.be/4JipHEz53sU
Still D.R.E.,Dr. Dre (ft. Snoop Dogg),https://drive.google.com/uc?export=download&id=11GdJe8yYmyih8F9K33tGtz7bb77fPvZA,Song: Dr. Dre (ft. Snoop Dogg) - Still D.R.E. Watch: http://youtu.be/_CL6n0FJZpk
Woo Hah!! Got You All in Check,Busta Rhymes,https://drive.google.com/uc?export=download&id=11h_alXG7ho5gqJyEFFAzOR8MyYcy_nqS,Song: Busta Rhymes - Woo Hah!! Got You All in Check Watch: http://youtu.be/W7FfCJb8JZQ
Life Of Da Party,Snoop Dogg (ft. Too Short & Mistah F.A.B),https://drive.google.com/uc?export=download&id=12aHIUaUYvBWJhpNuk_Q-nwA3xY6FRZ2m,Song: Snoop Dogg (ft. Too Short & Mistah F.A.B.) - Life of da Party Watch: http://youtu.be/lhoncd8frqw
Microphone Anthem,Saint Loco,https://drive.google.com/uc?export=download&id=12yEVdZmQBFHOPJMy_ZBhajvHCiWiZ834,Song: Saint Loco - Microphone Anthem Watch: http://youtu.be/yqiNwFoXKnw
my name is,Eminem,https://drive.google.com/uc?export=download&id=13_OFh3g-38oKPPzYld6wFvziBLLuoghI,Song: Eminem - My Name Is Watch: http://youtu.be/sNPnbI1arSE
Like Toy Soldiers (1),Eminem,https://drive.google.com/uc?export=download&id=16loj9KEHUyNyZ-lFi7qADAesphdybJUy,Song: Eminem - Like Toy Soldiers Watch: http://youtu.be/lexLAjh8fPA
Everybody,Logic,https://drive.google.com/uc?export=download&id=18q43ikEbQewL4KyiiImKxNOxYlvR371P,Song: Logic – Everybody Watch: http://youtu.be/fs_l_o3yHJc
So Many Tears,Tupac Shakur,https://drive.google.com/uc?export=download&id=19hGNCGPT9hxPxaSLb95tXNOMGfQc-mws,Song: Tupac Shakur - So Many Tears Watch: http://youtu.be/IXvz9R_4S2M
Keep Ya Head Up,Tupac Shakur,https://drive.google.com/uc?export=download&id=19oEhjoIq039rd-hrl-a26pLAbDLduB1J,Song: Tupac Shakur - Keep Ya Head Up Watch: http://youtu.be/HfXwmDGJAB8
