title,artist,link,copyright
AC/DC - Back In Black,AC_DC,https://drive.google.com/uc?export=download&id=1E95OfG0EGE3An03q_GdJSqTctZ7HON_s,Song: AC_DC - Back In Black Watch: https://youtu.be/pAgnJDJN4VA?si=dh3Xi7-1FmphRpbP 
Bob Dylan - Subterranean Homesick Blues,Bob Dylan,https://drive.google.com/uc?export=download&id=1b_2yaNFSjhcUsJU-frJp8er-k1RRaZ2e,Song: Bob Dylan - Subterranean Homesick Blues Watch: https://youtu.be/MGxjIBEZvx0?si=HoDdWf928QCtEQUQ 
Boston - More Than a Feeling,Boston,https://drive.google.com/uc?export=download&id=1dsLJ_ZnDm4qYKIvN3S1mFuxUzAOdb181,Song: Boston - More Than a Feeling Watch: https://youtu.be/t4QK8RxCAwo?si=cr1Fgr5IgP-YJms8 
Bruce Springsteen - Born to Run,Bruce Springsteen,https://drive.google.com/uc?export=download&id=1sZp1Jl-hRfTyYQ-RdbaCJ9LawDWzW4sG,Song: Bruce Springsteen - Born to Run Watch: https://youtu.be/IxuThNgl3YA?si=M5NuC2WKQZvA5LFP 
Carly Simon - You're So Vain,Carly Simon,https://drive.google.com/uc?export=download&id=1IxUvshp7QtC7gBkVPs_gm36H92ijESst,Song: Carly Simon - You're so Vain Watch: https://youtu.be/j13oJajXx0M?si=8O76xHkBIy9S5iB7 
Carole King - I Feel the Earth Move,Carole King,https://drive.google.com/uc?export=download&id=19ncelbYnuMtFSG7ZRf-xY3U_dBLycBnJ,Song: Carole King - I Feel the Earth Move Watch: https://youtu.be/6913KnbMpHM?si=XxRm8B-miiT_EMQ2 
Chicago - If You Leave Me Now,Chicago,https://drive.google.com/uc?export=download&id=1iGCuFyvQ9eicvEvPLpr3ii22mzt2K27g,Song: Chicago - If You Leave Me Now Watch: https://youtu.be/j1ykMNtzMT8?si=0r4pX_P8rQX0fA_d 
"Crosby, Stills, Nash & Young - Our House","Crosby, Stills, Nash & Young",https://drive.google.com/uc?export=download&id=1inAO217HsPvE6Bx9_cZh9eVsQA_dD141,"Song: Crosby, Stills, Nash & Young - Our House Watch: https://youtu.be/aunVlekXjkE?si=MmQ06w3pY_j-8j16 "
David Bowie - Changes (2015 Remaster),David Bowie,https://drive.google.com/uc?export=download&id=1EeJxVAjeVUYcto9MwdsPswMiWTDkCjsY,Song: David Bowie - Changes (2015 Remaster) Watch: https://youtu.be/4BgF7Y3q-as?si=kGIwx37dp6sAdO5X 
Deep Purple - Smoke on the Water,Deep Purple,https://drive.google.com/uc?export=download&id=12pYYILZNHWF66kWhBYliIoO8J0Bvs_pg,Song: Deep Purple - Smoke on the Water Watch: https://youtu.be/Q2FzZSBD5LE?si=xyRuJ4EorlfK2ybQ 
Derek & The Dominos - Layla (2010 Remastered),Derek & The Dominos,https://drive.google.com/uc?export=download&id=1f7N02EYsCIldQlI6t0V-cpaSjNfTZevv,Song: Derek & The Dominos - Layla (40th Anniversary Version _ 2010 Remastered) Watch: https://youtu.be/NZEc51heXsA?si=FY7p3BlalK9KoLBV 
Dire Straits - Sultans of Swing,Dire Straits,https://drive.google.com/uc?export=download&id=1z519lk0u0RjchAFPJ_lnCJWxWT3vHvnA,Song: Dire Straits - Sultans of Swing Watch: https://youtu.be/h0ffIJ7ZO4U?si=DoK4iKFu8nmC6YnB 
Eagles - Hotel California (2013 Remaster),Eagles,https://drive.google.com/uc?export=download&id=140RP_Y1tkcT0_R6dgJdIt1JfThnuT1HQ,Song: Eagles - Hotel California (2013 Remaster) Watch: https://youtu.be/TlRmqXAJFMY?si=JGvkRWeK1T16rbVn 
Electric Light Orchestra - Mr. Blue Sky,Electric Light Orchestra,https://drive.google.com/uc?export=download&id=1K2s7_QmXHmiZuDQSUWM03o9Pb5PadH3h,Song: Electric Light Orchestra - Mr. Blue Sky Watch: https://youtu.be/aQUlA8Hcv4s?si=7KJzaZibs740Ta_1 
Elton John - I'm Still Standing,Elton John,https://drive.google.com/uc?export=download&id=1Voeo7Xb2Lmbap12VislEFpBjL4Rpj0x0,Song: Elton John - I'm Still Standing Watch: https://youtu.be/ZHwVBirqD2s?si=fy6R_rAg66XPZbE3 
Elvis Presley - Suspicious Minds (Remastered),Elvis Presley,https://drive.google.com/uc?export=download&id=1Af_TcCvXaNMsrCex_uAuPnqKZzdtinkh,Song: Elvis Presley - Suspicious Minds (Remastered) Watch: https://youtu.be/RxOBOhRECoo?si=4oGVsjWMh5WVJ8Uz 
Fleetwood Mac - Go Your Own Way (2004 Remaster),Fleetwood Mac,https://drive.google.com/uc?export=download&id=1ViVNkO5DfEmOFh449bQbXM1FOxmWC3W7,Song: Fleetwood Mac - Go Your Own Way (2004 Remaster) Watch: https://youtu.be/DubafeFeJ7Y?si=84CePEYspc60CNKb 
Foreigner - Cold as Ice (2008 Remaster),Foreigner,https://drive.google.com/uc?export=download&id=1-LgoWHD9-ZkwOHHIkOaZr3Sscb6bY_j9,Song: Foreigner - Cold as Ice (2008 Remaster) Watch: https://youtu.be/SdOFadTTV_8?si=qPewmrYiSQOgtUdk
Free - All Right Now,Free,https://drive.google.com/uc?export=download&id=1IuOwjQB0ft64rmqlEAXtuEQliz0PJQbD,Song: Free - All Right Now Watch: https://youtu.be/qjjs4thy-R0?si=lwn74ZwF19WPKNDP 
Gerry Rafferty - Baker Street,Gerry Rafferty,https://drive.google.com/uc?export=download&id=1suBI2A5HWugaRiMulpO6_6uBnPu62V2h,Song: Gerry Rafferty - Baker Street Watch: https://youtu.be/Fo6aKnRnBxM?si=AfhNMopwzjcgRa1i 
Iggy Pop - The Passenger,Iggy Pop,https://drive.google.com/uc?export=download&id=1dX9UktiEZMBSvxQRbaOjrftgsPcjoz-A,Song: Iggy Pop - The Passenger Watch: https://youtu.be/-fWw7FE9tTo?si=wLrXxTku9HiI0s0J 
Jefferson Airplane - White Rabbit,Jefferson Airplane,https://drive.google.com/uc?export=download&id=1l0cmapjbDFJVlIqwvuucF35a_KZoV-v_,Song: Jefferson Airplane - White Rabbit Watch: https://youtu.be/pnJM_jC7j_4?si=uPzeN5xKuf3hJ6ll 
Jimi Hendrix - All Along the Watchtower,Jimi Hendrix,https://drive.google.com/uc?export=download&id=1FbpZfME0W2hWrQp7kQWNltXELVmENlrk,Song: Jimi Hendrix - All Along the Watchtower Watch: https://youtu.be/TLV4_xaYynY?si=AxhFV5_qqdfgEiNq 
Led Zeppelin - Rock and Roll (2012 Remaster),Led Zeppelin,https://drive.google.com/uc?export=download&id=1HpKbHb2-h0oMu4_Y_d7LemwciMpcFYkq,Song: Led Zeppelin - Rock and Roll (2012 Remaster) Watch: https://youtu.be/RCN6eRVav5k?si=5sxkQcAq8iW49FQw 
Lou Reed - Walk On the Wild Side,Lou Reed,https://drive.google.com/uc?export=download&id=13cd5L0Qv1mA6WjaysRXatCoMa_9Xxd_r,Song: Lou Reed - Walk On the Wild Side Watch: https://youtu.be/oG6fayQBm9w?si=73nW0Jjx_1kmnvCG 
Lynyrd Skynyrd - Free Bird,Lynyrd Skynyrd,https://drive.google.com/uc?export=download&id=1j8eSMF1fXU6v_rCBXtFwcUCa9VfKjs_2,Song: Lynyrd Skynyrd - Free Bird Watch : https://youtu.be/0LwcvjNJTuM?si=kvE8dLg6geew16Sh 
Paul Simon - 50 Ways to Leave Your Lover,Paul Simon,https://drive.google.com/uc?export=download&id=1FdL_V7950uyv3HyBZQfekArJstqwxofg,Song: Paul Simon - 50 Ways to Leave Your Lover Watch: https://youtu.be/ABXtWqmArUU?si=pt2wfIap3JYtskip 
"Pink Floyd - Another Brick in the Wall, Pt. 2",Pink Floyd,https://drive.google.com/uc?export=download&id=17PNj8yq2NRVRjKG78gIjlD6IiO-H_tm2,"Song: Pink Floyd - Another Brick in the Wall, Pt. 2 Watch: https://youtu.be/HrxX9TBj2zY?si=8JqVlEDgEDoAQQGR  "
Queen - Bohemian Rhapsody (2011 Mix),Queen,https://drive.google.com/uc?export=download&id=1qzILyR5F26j2vgXk2k8gWibOXMaKXwBB,Song: Queen - Bohemian Rhapsody (2011 Mix) Watch: https://youtu.be/fJ9rUzIMcZQ?si=wiFn4PT-HWShM2Ym 
Rod Stewart - Maggie May (Remastered Version),Rod Stewart,https://drive.google.com/uc?export=download&id=13WDlXri3S-gq0Usx9fRaN5tPGgn-8-GW,Song: Rod Stewart - Maggie May (Remastered Version) Watch: https://youtu.be/Z8Y_8nzWh2M?si=skZ-RyZ7_6mEXLTZ 
Steely Dan - Do It Again,Steely Dan,https://drive.google.com/uc?export=download&id=1jZxTn8NBkZbHo5dbGTnvaTJnfiK8rErt,Song: Steely Dan - Do It Again Watch: https://youtu.be/yCgHTmv4YU8?si=s3SPQzYBAPiFuWse 
Steppenwolf - Born To Be Wild (Single Version),Steppenwolf,https://drive.google.com/uc?export=download&id=1JpwHQn6ASCNaHhPiDkSkBXFX8kb5Vwjw,Song: Steppenwolf - Born To Be Wild (Single Version) Watch: https://youtu.be/93fAJe8WVjA?si=SOJ3J7hDssruiDpI 
Supertramp - Breakfast In America (Remastered),Supertramp,https://drive.google.com/uc?export=download&id=1JWlHjhkLWXLQ4-r1tW_zqrUgFH-jYch0,Song: Supertramp - Breakfast In America (Remastered) Watch: https://youtu.be/3YQb-0P320s?si=yGWsbRYtxypPhVWc 
T. Rex - 20th Century Boy,T. Rex,https://drive.google.com/uc?export=download&id=1Vz1rqmOnbEm7kL8RG32daHh6zK9Jrwxd,Song: T. Rex - 20th Century Boy Watch: https://youtu.be/atmNLbycafM?si=xP_3BRa2Ie69UPeU 
The Animals - House Of The Rising Sun,The Animals,https://drive.google.com/uc?export=download&id=18CuMItratmWVLOze816poLCle0D16BTp,Song:The Animals - House Of The Rising Sun Watch: https://www.youtube.com/watch?v=PqW4GCmQSt4
The Beach Boys - Good Vibrations,The Beach Boys,https://drive.google.com/uc?export=download&id=1h07m40k4-myDa2SqcHyWU1f5eCtzNYAl,Song: The Beach Boys - Good Vibrations Watch: https://youtu.be/apBWI6xrbLY?si=W1cZe22_es2LF6VH 
The Beatles - Get Back (Remastered 2009),The Beatles,https://drive.google.com/uc?export=download&id=1oCUXKHYPv7jJOv5CFZDywB1q0NdmqXvc,Song: The Beatles - Get Back (Remastered 2009) Watch: https://youtu.be/IKJqecxswCA?si=1cmfY2zueC15WtuD 
The Byrds - Eight Miles High,The Byrds,https://drive.google.com/uc?export=download&id=1Cjx68l0J2zpV1j51EdA7PuDYaDVbpNMD,Song: The Byrds - Eight Miles High Watch: https://youtu.be/NxyOhFBoxSY?si=b7-sc22EsnoqbXMT 
The Clash - Should I Stay or Should I Go,The Clash,https://drive.google.com/uc?export=download&id=101DGpeReguexhUjYo8OlNbUNlDzuLrb0,Song: The Clash - Should I Stay or Should I Go (Remastered) Watch: https://youtu.be/BN1WwnEDWAM?si=s-bX6d15p6rj5JHQ 
The Doobie Brothers - Listen to the Music,The Doobie Brothers,https://drive.google.com/uc?export=download&id=1g5YfznbNQZ-DTUB446-V1hsRvM5ohAeL,Song: The Doobie Brothers - Listen to the Music (Single Version; 2006 Remaster) Watch: https://youtu.be/qZCpyaNr1GU?si=1vmuLtupvqdOiqLw 
The Doors - L.A. Woman,The Doors,https://drive.google.com/uc?export=download&id=1SReFrun41nSzAG8jlFqTauHnW03MnKkW,Song: The Doors - L.A. Woman Watch: https://youtu.be/vHXjcdNIN-Q?si=-Fbfyc0bfQE-bBNu 
The Kinks - Rats,The Kinks,https://drive.google.com/uc?export=download&id=17HslAX70iIBxn6IWALrP9URhgr6CfFuR,Song: The Kinks - Rats Watch: https://youtu.be/lAlVex9CobU?si=1KeEd18zTkGnv2d_ 
The Monkees - Last Train to Clarksville,The Monkees,https://drive.google.com/uc?export=download&id=1xvIdVlctD7IE_8qTXZ6oRHe2YrnJqwIJ,Song: The Monkees - Last Train to Clarksville Watch: https://youtu.be/OA-KO04_KgM?si=PA_zrBvXJawGu_fV 
The Police - Roxanne (Remastered 2003),The Police,https://drive.google.com/uc?export=download&id=1W2AsPgasoOdRuOC49aYjnx-ZOMHW2UTI,Song: The Police - Roxanne (Remastered 2003) Watch: https://youtu.be/WXzFCS72QIA?si=rF7B_vV-YwFiZygr 
The Rolling Stones - Brown Sugar (2009 Mix),The Rolling Stones,https://drive.google.com/uc?export=download&id=1JNhR62rtYRqdFvIGsPufg6ojuOuH8F_9,Song: The Rolling Stones - Brown Sugar (2009 Mix) Watch: https://youtu.be/Bar7SzNLnY0?si=rN0siR0CUm76GwGq 
The Who - My Generation,The Who,https://drive.google.com/uc?export=download&id=1YzMUUn6CGHMkFcj-ziInW_0t_bMMEfxv,Song: The Who - My Generation Watch: https://youtu.be/qN5zw04WxCc?si=wKCaYgaXsCYczdLK 
Thin Lizzy - The Boys Are Back In Town,Thin Lizzy,https://drive.google.com/uc?export=download&id=1ApasMb-r4fPl3zupi_7pbmaxIioKQO07,Song: Thin Lizzy - The Boys Are Back In Town Watch: https://youtu.be/5_xqb416S7o?si=v1D7UHiDts2e8eti 
Toto - Rosanna,Toto,https://drive.google.com/uc?export=download&id=1xw88csa8vz_ZMwcBA3wPBdxswkkr4mM8,Song: Toto - Rosanna Watch: https://youtu.be/qmOLtTGvsbM?si=iJUoEf5ff5Afe0Nw 
Van Morrison - Bright Side of the Road,Van Morrison,https://drive.google.com/uc?export=download&id=1rwMDzl7t_WKjL1_udg3IR8jlDLpw4Pzj,Song: Van Morrison - Bright Side of the Road Watch: https://youtu.be/pN06X_IEIVA?si=G_NXA15Kyv8A_-LH 
Yes - Owner of a Lonely Heart,Yes,https://drive.google.com/uc?export=download&id=1KjAqD5QSvs8X1iipB011TK0QSfZTWusp,Song: Yes - Owner of a Lonely Heart Watch: https://youtu.be/AY7ktU1Db2A?si=ugpns7ZDSqKq0WfD 
