,title,artist,copyright,audio_path,sampling_rate,genre,original_signal,emphasis_signal,framed_windowed_signal,fft_signal,mel_signal,dct_signal,final_features
0,The Animals - House Of The Rising Sun,,,audio/rock/The Animals - House Of The Rising Sun.mp3,22050,rock,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  8.34246593e-21
   3.03407263e-19 -9.36946138e-19]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]","[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [3.89441846e-42 2.75428661e-40 2.06487413e-39 ... 6.56072253e-35
  7.91153718e-35 8.43181218e-35]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]","[[-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-791.1998174  -773.70212833 -762.32366809 ... -674.05128001
  -679.82180572 -672.36982847]
 ...
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]]","[[   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [-188.95999734  -81.64772613  -90.81794482 ... -139.56881269
  -155.49011971   30.67310738]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]","[  -8.51224298  -50.5643116   -72.07284945   -9.8136774   -56.20206608
  -16.70153765  -35.47234554 -113.69143463   29.35952521  -62.80197419
  -40.07452523  -98.00059464]"
1,The Byrds - Eight Miles High,,,audio/rock/The Byrds - Eight Miles High.mp3,22050,rock,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 ...
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[ -39.46172977  -92.30352146   10.43896306  -17.13900618  -77.7520774
 -122.53091791   33.26328149 -100.12130921  -41.65011883  -45.27428428
  -19.17828203  -65.77228828]"
2,Steely Dan - Do It Again,,,audio/rock/Steely Dan - Do It Again.mp3,22050,rock,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 ...
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[ -43.1094061   -32.47840561  -44.84775414  -22.42470796   33.6274666
  -88.48895967  -78.14099446  -53.1633768   -21.60790345 -117.35104042
  -65.14972114   41.66544935]"
3,Queen - Bohemian Rhapsody (2011 Mix),,,audio/rock/Queen - Bohemian Rhapsody (2011 Mix).mp3,22050,rock,"[ 4.9982045e-06 -2.7375645e-05  2.4100766e-05 ...  7.9667416e-08
 -8.5666215e-08 -6.6613779e-08]","[ 4.9982045e-06 -3.2223903e-05  5.0655144e-05 ...  6.0904632e-08
 -1.6294362e-07  1.6482453e-08]","[[ 3.99856362e-07 -2.57887860e-06  4.05848773e-06 ...  6.52720127e-06
  -2.69064849e-06  5.42616670e-07]
 [ 5.75867016e-07 -3.03282195e-06  2.79858093e-05 ...  3.83446533e-06
   8.10827725e-07  1.33216196e-04]
 [ 2.57969857e-05 -1.48987161e-05 -1.53912393e-05 ...  7.44232512e-07
  -3.06495657e-04 -5.52112171e-04]
 ...
 [-1.74642428e-07  1.50548374e-07  3.15477046e-07 ... -4.16554772e-07
  -2.13437374e-07  2.18514641e-07]
 [-2.54108236e-07 -2.99202288e-07  1.51807778e-07 ...  7.64828722e-07
  -1.12318131e-06  3.34615524e-07]
 [ 1.72040280e-06 -1.95806499e-06  1.86925778e-06 ... -4.55785808e-08
   1.61768725e-08  2.19129738e-08]]","[[3.95488372e-09 6.17371040e-10 4.24660794e-09 ... 1.94744240e-12
  1.95909388e-12 1.89514447e-12]
 [1.65001680e-08 1.37677814e-08 1.46322574e-08 ... 2.79976224e-12
  2.28359907e-12 2.18161233e-12]
 [1.86250694e-09 9.15831076e-09 1.98344685e-08 ... 4.31425825e-11
  4.00446820e-11 3.98686346e-11]
 ...
 [9.17804214e-15 2.12802495e-15 9.18734753e-15 ... 1.06631733e-14
  7.60068896e-15 8.03272975e-15]
 [8.97196033e-17 1.58017967e-15 1.95413615e-15 ... 4.07238143e-14
  4.18452408e-14 3.91600624e-14]
 [3.03887797e-17 1.33362073e-15 3.13417952e-15 ... 2.76377301e-13
  2.92862976e-13 2.89285500e-13]]","[[-184.18907493 -167.43915665 -161.86383555 ... -126.99723651
  -129.3471553  -129.71895429]
 [-157.22272076 -156.69377336 -153.05012335 ... -134.3017765
  -131.87157682 -133.49388088]
 [-160.76369248 -154.05158865 -156.58841412 ... -128.38786168
  -112.57682686 -122.42024887]
 ...
 [-293.44046567 -280.7361971  -306.61677976 ... -176.05271058
  -168.44582295 -164.26010141]
 [-296.02587057 -294.18090363 -300.91298435 ... -173.25698467
  -171.20210143 -168.68275779]
 [-297.49935323 -290.07752263 -275.5365656  ... -174.1388177
  -168.2134165  -169.79390209]]","[[-9.41210773e+01  6.68749181e+01 -2.99558617e+01 ... -3.23571510e+01
  -4.64978553e+01  2.88732412e+00]
 [-7.39272551e+01  5.84365964e+01  6.82747288e+01 ... -1.48726995e+01
   9.86869550e+01  1.08991650e+02]
 [-1.01272181e+02 -1.26377955e+02  2.07260351e+02 ... -7.77876542e+00
   1.93938107e+02 -1.56482475e-01]
 ...
 [-1.99668630e+02  2.59815338e+01 -2.81856518e+02 ... -1.08752275e+02
  -9.35765697e+01  2.70016899e+01]
 [-2.05319702e+02  2.66624498e+00 -2.82667187e+02 ...  1.85436258e+01
   4.83988992e+01  8.42799243e+01]
 [-1.95525413e+02  4.89676599e+01 -2.41128636e+02 ... -1.54852780e+01
  -8.05924508e+01 -9.04566692e+01]]","[ -39.45900629 -109.67462189   -9.51416991  -72.27323517 -121.36307645
  -37.03570471  -25.47577822 -135.87674798  -10.31134999 -116.84089405
  -62.77886034  -54.82869838]"
4,Foreigner - Cold as Ice (2008 Remaster),,,audio/rock/Foreigner - Cold as Ice (2008 Remaster).mp3,22050,rock,"[ 1.3073986e-12 -1.8189894e-12  1.7053026e-12 ... -3.7185094e-10
  2.3404541e-09  1.9074453e-09]","[ 1.3073986e-12 -3.0871662e-12  3.4697223e-12 ...  2.8375569e-10
  2.7011495e-09 -3.6279513e-10]","[[ 1.04591891e-13 -2.47065874e-13  2.77993988e-13 ... -2.67919126e-07
   2.67110736e-07 -3.87255037e-07]
 [-3.98449947e-08  1.35542059e-08 -7.71824007e-09 ...  2.21451267e-07
  -5.25529327e-07 -6.86925501e-07]
 [-4.49127901e-08  7.34407840e-09  8.58740849e-09 ... -5.78760607e-07
  -6.60271335e-07  5.69602301e-07]
 ...
 [-8.08575642e-07  1.42155646e-06 -6.12133499e-07 ... -6.56172151e-07
   1.90957640e-07 -2.33623630e-07]
 [-4.57607021e-07  1.12391150e-07  2.96123236e-07 ... -2.99370439e-08
   1.20790009e-08 -1.27780144e-08]
 [-8.28957200e-07 -1.71899250e-07  8.16599932e-07 ... -3.80519677e-10
   5.23801576e-10 -4.42654470e-11]]","[[2.58767220e-17 1.87052394e-17 1.31683981e-17 ... 2.35443444e-16
  2.30761659e-16 2.28997928e-16]
 [2.84420168e-16 3.33574132e-17 9.10510206e-16 ... 7.34890467e-15
  7.25418245e-15 7.18061368e-15]
 [9.84346490e-15 3.54446530e-15 6.31353583e-15 ... 2.61163149e-15
  2.51719153e-15 2.34514018e-15]
 ...
 [1.44951610e-14 7.14179214e-15 1.78823989e-14 ... 3.22920368e-15
  3.37699790e-15 3.31142093e-15]
 [4.46340259e-16 7.92243443e-15 7.07202194e-15 ... 2.48573262e-15
  2.59037149e-15 2.50872110e-15]
 [2.47096618e-15 1.95455000e-15 9.18227303e-16 ... 1.36384266e-15
  1.29194703e-15 1.30086205e-15]]","[[-334.5607346  -337.60934108 -332.74816114 ... -235.81481413
  -232.85625387 -236.98457131]
 [-329.53615272 -300.81430363 -288.23112968 ... -187.10802081
  -186.90143135 -191.80789562]
 [-289.00898542 -283.99454701 -267.21155787 ... -182.86017338
  -178.64369941 -177.68197373]
 ...
 [-282.92385588 -274.95148442 -263.38798808 ... -180.0009202
  -178.51640054 -176.93795128]
 [-282.02282693 -283.00912802 -268.91660214 ... -180.79211011
  -178.84967982 -178.77353943]
 [-294.17906429 -300.74099596 -308.20429142 ... -202.73699577
  -205.11522479 -202.97470074]]","[[-167.45688434  -75.29770873 -216.89315242 ...   40.72132313
    15.78367692 -107.09206681]
 [-210.03413474  -88.47345289 -151.05909759 ...   11.12129958
   -80.2978717  -264.93348412]
 [-193.52150109  -80.24309573 -142.29363008 ...  -55.16520625
   -90.95162737  -73.96268562]
 ...
 [-177.83286854  -34.51275091 -132.02910056 ...  -70.17551644
   -41.12823585   41.78655221]
 [-176.95787906  -48.94639303 -135.86090837 ...   41.53082429
   -37.50205188   17.44658083]
 [-175.5383253   -56.3866171   -94.02929264 ...  -53.89600899
    35.31811496  115.67417972]]","[ -77.837548   -119.87630108  -17.60387746  -42.55510202  -22.38271773
  -81.2825107    47.58112341  -81.46826682  -20.31644291  -59.57888431
  -35.97926842  -44.85409317]"
5,Yes - Owner of a Lonely Heart,,,audio/rock/Yes - Owner of a Lonely Heart.mp3,22050,rock,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 ...
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[ -54.12662699 -136.13695001  -24.42528755  -72.84406578  -39.01281008
  -46.67822053  -55.91397614  -81.94943293  -18.79339644  -79.99461931
  -23.43571589  -26.11017154]"
6,Jefferson Airplane - White Rabbit,,,audio/rock/Jefferson Airplane - White Rabbit.mp3,22050,rock,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 ...
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[ -28.63929723  -86.96636562  -11.4969153   -51.70497898   -3.51175815
  -42.53639056  -13.08066759  -90.96829123  -58.72600281 -127.19580355
  -61.17015701 -140.08566437]"
7,Carole King - I Feel the Earth Move,,,audio/rock/Carole King - I Feel the Earth Move.mp3,22050,rock,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-6.61430025e-14  2.73860548e-14 -6.84737796e-14 ...  4.07380506e-24
   1.72154368e-25 -3.37109418e-24]
 [ 1.93495003e-14 -1.48416938e-13  7.34835026e-14 ... -7.90627756e-25
   5.41210235e-24 -5.36224115e-24]
 [ 9.12781487e-24 -3.00048130e-24  1.51033557e-24 ...  2.69336874e-24
   1.28257087e-25 -3.55259147e-25]]","[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 ...
 [5.77744813e-29 1.29093059e-28 2.21208831e-28 ... 8.02586811e-27
  7.64181189e-26 2.02545702e-25]
 [2.45216312e-30 2.43534408e-30 2.38543260e-30 ... 3.31839215e-28
  3.33572705e-28 3.34151929e-28]
 [4.78833164e-48 4.78352497e-48 6.58029188e-49 ... 7.44639383e-47
  2.35677510e-45 2.56219564e-49]]","[[-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 [-313.07119549 -313.07119549 -313.07119549 ... -313.07119549
  -313.07119549 -313.07119549]
 ...
 [-557.78194215 -553.10395079 -539.65125758 ... -481.42554899
  -483.67558385 -475.02744258]
 [-592.26879339 -592.44865698 -589.3678344  ... -537.61918886
  -545.21528201 -529.9215529 ]
 [-946.40503909 -963.63509684 -946.92492531 ... -872.72331779
  -869.5504259  -869.98682775]]","[[   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [-151.98011467  -34.94634023  -14.84020743 ...  110.93698494
    -2.63870611   11.03487797]
 [-126.2557724   -35.41669181  -35.70488513 ... -105.20152877
   125.74953449  -82.22500746]
 [-142.07402006  -55.69106239 -113.49560488 ...  -34.16479152
   -91.79899788  -38.96757205]]","[  -4.16629131 -141.33875961   -3.51961358  -26.73516924 -105.89817435
   13.55900316  -78.69054813  -78.60177172  -11.55337173  -53.8900947
  -66.41930671 -105.89396133]"
8,Elvis Presley - Suspicious Minds (Remastered),,,audio/rock/Elvis Presley - Suspicious Minds (Remastered).mp3,22050,rock,"[ 8.1254411e-06  2.4306735e-06 -3.9994829e-06 ...  6.8679583e-08
  1.7910736e-07 -1.0915403e-07]","[ 8.1254411e-06 -5.4510047e-06 -6.3572361e-06 ... -3.1690867e-08
  1.1248816e-07 -2.8288818e-07]","[[ 6.50035290e-07 -4.36243843e-07 -5.09341452e-07 ... -8.83865772e-08
  -7.96260334e-08  1.72484400e-07]
 [ 1.83369011e-07 -2.62599018e-07 -3.54290289e-07 ...  4.59893190e-07
   4.85630850e-07  3.81002660e-07]
 [ 2.69687298e-07 -8.02920415e-07 -1.39252725e-07 ...  1.83625843e-07
  -2.51069574e-07  9.14587745e-08]
 ...
 [ 8.74358011e-07 -4.71634265e-07 -5.03823035e-07 ... -3.68789863e-07
   7.83482639e-09  8.27872032e-07]
 [-8.63947716e-07  8.88273625e-08  3.59831369e-07 ...  3.49657219e-08
   8.09424827e-07 -1.21104676e-07]
 [-3.55102311e-07  1.55055645e-08  2.07259963e-07 ... -1.56411383e-08
   1.45947557e-08 -4.28846986e-08]]","[[4.30420972e-17 4.78378353e-16 1.24553410e-14 ... 4.70507591e-15
  4.21224369e-15 4.23959974e-15]
 [1.90050500e-16 6.57605568e-15 1.03316294e-14 ... 8.98644239e-16
  7.79782861e-16 7.92463903e-16]
 [1.69540983e-14 2.74545658e-14 2.79423293e-14 ... 2.25688045e-15
  2.17074259e-15 2.21598799e-15]
 ...
 [5.89160882e-15 1.53412763e-14 4.94364438e-16 ... 1.54657557e-14
  1.63395544e-14 1.62237708e-14]
 [5.04452875e-15 1.03068785e-14 1.13813033e-14 ... 2.01221774e-15
  1.91420787e-15 1.86804485e-15]
 [1.64406873e-14 1.46094590e-14 9.30610687e-15 ... 1.27616247e-15
  1.46251567e-15 1.40256404e-15]]","[[-306.40456962 -278.09288754 -271.67665706 ... -180.7067411
  -179.97228792 -184.08468675]
 [-283.64069037 -279.71662362 -274.47826649 ... -186.80105905
  -184.74093991 -187.31741938]
 [-271.22770842 -271.07474786 -269.11993951 ... -187.818705
  -187.13957    -186.68162317]
 ...
 [-276.28277019 -306.11905555 -271.79016475 ... -187.17606682
  -185.81107183 -187.43854703]
 [-279.73745688 -278.87616004 -281.82755565 ... -188.00886844
  -186.04258606 -184.52501706]
 [-276.70731732 -280.62463929 -268.33142289 ... -187.86043821
  -190.76628526 -185.40404319]]","[[-175.81857785  -73.15437649 -130.52016336 ...  -69.29124217
  -107.14692655  -96.03154737]
 [-168.44820902  -67.63952937 -103.6532167  ...  -96.84231906
   -52.97054489  -84.73365462]
 [-167.69915799  -58.23677731  -70.7241457  ...   51.27515313
   -14.72237157  -27.42498819]
 ...
 [-175.08605238  -87.06668101 -103.63634274 ...    5.05643744
   -88.7101615   -56.37628067]
 [-170.56938834  -74.85050232  -87.24311321 ...  -13.63512112
   -18.53043412   37.12646702]
 [-179.33381365  -85.89339303  -26.1711382  ...  -44.41909108
   -33.45002557  -62.78896644]]","[ -43.02985087  -58.2641279   -16.18476097  -58.41730674  -42.02536983
  -15.62436319  -15.87432402  -43.56334724   20.0782936   -35.82102727
  -95.00593682 -124.1441113 ]"
9,The Kinks - Rats,,,audio/rock/The Kinks - Rats.mp3,22050,rock,"[ 3.2623066e-06 -1.6775040e-05  4.3011736e-05 ...  3.5583980e-11
  3.4731329e-11 -2.3902658e-11]","[ 3.2623066e-06 -1.9939478e-05  5.9283528e-05 ...  2.2681660e-11
  2.1486632e-13 -5.7592049e-11]","[[ 2.60984525e-07 -1.59575621e-06  4.74979341e-06 ... -1.07758821e-06
  -1.45060967e-05  3.11519845e-05]
 [ 6.08501351e-05 -4.84000976e-05  7.09580905e-06 ...  1.71965018e-05
   2.04173552e-05  1.77744284e-06]
 [ 1.18418317e-05 -1.92925357e-05 -4.47495260e-06 ... -1.93170606e-06
  -5.83557591e-05  1.53072889e-05]
 ...
 [-5.16769243e-06 -1.17442458e-05  2.07495747e-05 ... -1.21140566e-07
  -1.13082700e-07 -3.20190528e-07]
 [-3.14081972e-05  1.22961098e-05  7.83912640e-05 ...  3.18279811e-07
  -5.52975317e-07 -1.05374233e-07]
 [ 8.90898984e-06 -2.62634989e-05  1.31276037e-05 ... -1.31040732e-11
   3.16881747e-10  3.30999806e-10]]","[[2.00071335e-10 5.99766677e-08 1.61915228e-08 ... 4.71915477e-11
  4.46067254e-11 4.44886058e-11]
 [2.73779127e-08 8.50224504e-08 2.88581767e-08 ... 1.19278845e-13
  4.44364990e-14 2.11420795e-14]
 [2.80509119e-08 4.26976643e-08 1.27810007e-08 ... 2.79473746e-12
  3.18699171e-12 3.29181951e-12]
 ...
 [1.78148251e-08 6.89922053e-08 2.69719979e-08 ... 4.08302440e-12
  3.93158199e-12 3.92776264e-12]
 [6.23817071e-09 1.08282702e-08 1.67144549e-08 ... 3.85582199e-12
  2.59859967e-12 2.75877328e-12]
 [7.09969140e-12 8.96511897e-12 1.61590891e-11 ... 2.12233018e-13
  1.04919030e-13 7.18150491e-14]]","[[-144.44035335 -155.8142461  -155.32364347 ... -106.27325916
  -107.10531144 -108.4476787 ]
 [-141.40932765 -150.79462224 -155.37293011 ... -111.84094546
  -112.88135761 -108.59667288]
 [-147.39191764 -157.86870285 -161.77329326 ... -113.70626592
  -110.27024184 -108.76097881]
 ...
 [-143.22399946 -151.38173766 -152.21512809 ... -112.15633386
  -106.27485292 -108.65442122]
 [-159.30881829 -155.53815567 -158.11650709 ... -115.05265154
  -110.98220116 -116.92076199]
 [-220.94887886 -215.83166247 -207.84774579 ... -157.40601802
  -158.92454361 -160.03559628]]","[[-115.29594426   63.10589594   42.07232096 ...   47.10287945
    91.14335586    8.31653862]
 [-116.3846023    65.25814522   60.46452388 ...   38.41054439
    31.15746417  -33.53641136]
 [-122.29846526   37.91847637   30.44471048 ...  -58.01200614
  -103.44186513   -8.05637167]
 ...
 [-122.26605343   56.06046314   30.6836594  ...   37.23640953
   -78.9112258   -34.81700454]
 [-118.80063137   42.55253186   -9.97881506 ...    0.70780027
   -90.61867344  -56.42624201]
 [-120.01029954   52.92538215  -26.87604805 ...  -77.23895435
  -154.86381159  -45.22427581]]","[ -26.7902166  -157.24831781  -77.2919346   -12.56364289    7.00416784
  -47.07989764  -78.97187023  -95.231441    -78.37292175 -108.04068608
  -87.52123672 -112.80199296]"
